编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,月销售额,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
85,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao河北邢台清河88"，"点我对话"),河北邢台清河88,中兴女装,,,,,https://shop59016958.taobao.com,,,10492.00,北京,针织女,,4.82036分,12.38%,4.84731分,7.18%,4.91617分,46.97%,,,,,,,,,,
86,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotianxin993039638"，"点我对话"),tianxin993039638,莫言出品 原创文艺女,,,,,https://shop113029867.taobao.com,,,240276.00,北京,针织女,,4.80502分,4.83%,4.85421分,11.31%,4.86851分,16.75%,,,,,,,,,,
87,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao老团长代购"，"点我对话"),老团长代购,老团长家 专业定制,,,,,https://shop135943703.taobao.com,,,0,北京,针织女,,4.91504分,58.53%,4.93841分,62.53%,4.9469分,66.38%,,,,,,,,,,
88,郴州谷诗贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao魅言服饰旗舰店"，"点我对话"),魅言服饰旗舰店,魅言服饰旗舰店,,,,,https://shop362762440.taobao.com,,,4376736.00,北京,针织女,,4.93571分,49.45%,4.9132分,48.51%,4.92495分,52.96%,,,,,,,,,,
89,,五冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao孔令保"，"点我对话"),孔令保,巴黎女装精品店,,010-67903528,,,https://shop35818354.taobao.com,,,323327.00,北京,针织女,,4.99131,95.76%,4.99523,97.10%,4.99327分,95.74%,,,,,,,,,,
90,广州吉屋服装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao英子著衣旗舰店"，"点我对话"),英子著衣旗舰店,英子著衣旗舰店,020-29040032,,,,https://shop57303342.taobao.com,,,20825775.00,北京,针织女,,4.91659分,34.42%,4.91146分,47.48%,4.905分,40.46%,,,,,,,,,,
91,清河县博堔羊绒制品有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao碧莲尼旗舰店"，"点我对话"),碧莲尼旗舰店,碧莲尼旗舰店,4000801531,,,,https://shop111436523.taobao.com,,,0,北京,针织女,,4.88584分,10.23%,4.88121分,29.54%,4.8991分,36.78%,,,,,,,,,,
92,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao李鑫淼777"，"点我对话"),李鑫淼777,衣衣阁商城,18910404246,,,,https://shop65195539.taobao.com,,,0.00,北京,针织女,,4.81034分,7.49%,4.83836分,1.74%,4.86422分,14.11%,,,,,,,,,,
93,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao牛一品男士皮鞋店"，"点我对话"),牛一品男士皮鞋店,艾尔曼乐超,,,,,https://shop111143658.taobao.com,,,4927.23,北京,针织女,,4.75838分,-1.14%,4.79218分,-1.08%,4.80359分,-0.95%,,,,,,,,,,
94,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao俊美羊绒"，"点我对话"),俊美羊绒,俊美羊绒制品,,,,,https://shop112637691.taobao.com,,,85598.00,北京,针织女,,4.77206分,0.48%,4.86029分,15.07%,4.85294分,6.98%,,,,,,,,,,
95,,五冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao衣我自在"，"点我对话"),衣我自在,韩多莉,,,13716956871,,https://shop71238632.taobao.com,,,1279440.00,北京,针织女,,4.82836分,16.22%,4.8627分,16.47%,4.86987分,17.61%,,,,,,,,,,
96,北京畅八达科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao歌咏衣冠旗舰店"，"点我对话"),歌咏衣冠旗舰店,歌咏衣冠旗舰店,,,,,https://shop58968241.taobao.com,,,0,北京,针织女,,4.93086分,45.64%,4.87138分,23.70%,4.88053分,25.13%,,,,,,,,,,
97,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoaerol"，"点我对话"),aerol,未来谷美丽魔法箱,,01068331640,15311205086,,https://shop35084145.taobao.com,,,128644.00,北京,针织女,,4.80158分,3.15%,4.86304分,16.68%,4.88054分,24.37%,,,,,,,,,,
98,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaomamawo888"，"点我对话"),mamawo888,Uncle Wang's 潘多拉,,,,,https://shop35982013.taobao.com,,,217107.00,北京,针织女,,4.79006分,0.10%,4.84899分,8.20%,4.86924分,17.29%,,,,,,,,,,
99,清河县羴毳绒毛制品有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao朝彤旗舰店"，"点我对话"),朝彤旗舰店,朝彤旗舰店,,,,,https://shop410355550.taobao.com,,,1205426.00,北京,针织女,,4.89785分,19.67%,4.87097分,23.47%,4.89785分,36.00%,,,,,,,,,,
100,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaot_1486542798204_0480"，"点我对话"),t_1486542798204_0480,QGZ七公主女装`,,,,,https://shop282077895.taobao.com,,,1067.64,北京,针织女,,4.61039分,-3.85%,4.65584分,-3.72%,4.68831分,-3.18%,,,,,,,,,,
101,嘉兴市阿奔服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao雪诗婉旗舰店"，"点我对话"),雪诗婉旗舰店,雪诗婉旗舰店,,,,,https://shop167120465.taobao.com,,,17778.30,北京,针织女,,4.82395分,1.00%,4.73637分,1.97%,4.7471分,1.93%,,,,,,,,,,
102,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao雨轩良品"，"点我对话"),雨轩良品,雨轩良品,,,,,https://shop68226579.taobao.com,,,39086.00,北京,针织女,,4.82143分,12.90%,4.86301分,16.72%,4.86194分,12.67%,,,,,,,,,,
103,北京依裳锦尚服装商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao阿玛杰斯温旗舰店"，"点我对话"),阿玛杰斯温旗舰店,阿玛杰斯温旗舰店,,,,,https://shop67265985.taobao.com,,,0,北京,针织女,,4.91773分,35.32%,4.85255分,12.53%,4.85915分,11.73%,,,,,,,,,,
104,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao冬暖羊绒商城88"，"点我对话"),冬暖羊绒商城88,RY高端羊绒工厂店,,,,,https://shop115300954.taobao.com,,,267260.00,北京,针织女,,5.0,100.00%,5.0,100.00%,5.0分,100.00%,,,,,,,,,,
105,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao丹丹时尚衣族"，"点我对话"),丹丹时尚衣族,艾家优品阁 包邮送运,13037353366,,,,https://shop71359121.taobao.com,,,37329.00,北京,针织女,,4.83886分,21.35%,4.87678分,25.04%,4.89336分,32.48%,,,,,,,,,,
106,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao北京公馆"，"点我对话"),北京公馆,香港IT潮牌ZJRJ女装代,,,,,https://shop105546784.taobao.com,,,399825.00,北京,针织女,,4.93902分,70.24%,4.95296分,71.38%,4.95732分,72.98%,,,,,,,,,,
107,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao北京王府井服装店"，"点我对话"),北京王府井服装店,七彩衣服饰68,,,,,https://shop112576645.taobao.com,,,4563.00,北京,针织女,,4.875分,38.99%,4.85156分,9.70%,4.88281分,25.81%,,,,,,,,,,
108,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoqq123683592"，"点我对话"),qq123683592,月份牌旗袍,,010-57151234,,,https://shop34892342.taobao.com,,,77488.00,北京,针织女,,4.92938分,65.53%,4.94256分,65.06%,4.94533分,65.39%,,,,,,,,,,
109,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao幻蝶雾语"，"点我对话"),幻蝶雾语,女装高端定制,,,,,https://shop381865854.taobao.com,,,157996.00,北京,针织女,,4.7556,-0.82%,4.80267,-0.68%,4.81622分,-0.53%,,,,,,,,,,
110,北京花花与瓜电子商务科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoheydress旗舰店"，"点我对话"),heydress旗舰店,heydress旗舰店,,,,,https://shop302181363.taobao.com,,,204810.00,北京,针织女,,4.88852分,12.34%,4.89836分,39.72%,4.91803分,48.64%,,,,,,,,,,
111,常熟市安提罗科斯商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao卡圣妮旗舰店"，"点我对话"),卡圣妮旗舰店,卡圣妮旗舰店,,,,,https://shop178052164.taobao.com,,,2089681.00,北京,针织女,,4.88575分,10.17%,4.85925分,16.50%,4.87102分,19.17%,,,,,,,,,,
112,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao君霸服饰"，"点我对话"),君霸服饰,叮叮欧洲站,,,,,https://shop127046902.taobao.com,,,7908.80,北京,针织女,,4.73591分,-1.23%,4.77731分,-1.20%,4.80514分,-0.76%,,,,,,,,,,
113,天津念奴娇服装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao娇鼎旗舰店"，"点我对话"),娇鼎旗舰店,娇鼎旗舰店,,,,,https://shop100828765.taobao.com,,,3124821.00,北京,针织女,,4.95672分,65.97%,4.952分,71.53%,4.95526分,71.96%,,,,,,,,,,
114,清河县肤墨电子商务有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao肤墨旗舰店"，"点我对话"),肤墨旗舰店,肤墨旗舰店,,,,,https://shop316151541.taobao.com,,,393870.00,北京,针织女,,4.95064分,61.19%,4.93236分,59.87%,4.93784分,61.04%,,,,,,,,,,
115,,一金,=HYPERLINK("aliim:sendmsg?&touid=cntaobaobabystyle11"，"点我对话"),babystyle11,newlife小铺 实拍女装,,,,,https://shop57908868.taobao.com,,,0,北京,针织女,,4.85968分,31.51%,4.90293分,40.95%,4.89834分,35.64%,,,,,,,,,,
116,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaolcm147180"，"点我对话"),lcm147180,念夏文艺女装,,,,,https://shop124325003.taobao.com,,,24434.00,北京,针织女,,4.78788分,0.15%,4.80861分,-0.56%,4.83413分,0.16%,,,,,,,,,,
117,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao最爱此家店"，"点我对话"),最爱此家店,最爱此家店,,,,,https://shop127615751.taobao.com,,,6706.00,北京,针织女,,4.92623分,63.99%,4.96721分,80.05%,4.97541分,84.43%,,,,,,,,,,
118,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao诚信为尊ying"，"点我对话"),诚信为尊ying,桂豐澤高端羊绒VIP,,,,,https://shop106059452.taobao.com,,,4219.00,北京,针织女,,4.53846,-5.35%,4.69231,-2.96%,4.69231分,-3.09%,,,,,,,,,,
119,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao周暄北"，"点我对话"),周暄北,叙读,,,,,https://shop72005420.taobao.com,,,15708.00,北京,针织女,,4.71855分,-1.60%,4.76546分,-1.45%,4.77612分,-1.36%,,,,,,,,,,
120,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao吉瑞羊绒制品有限公司"，"点我对话"),吉瑞羊绒制品有限公司,JRS羊绒工厂店,13363760261,,,,https://shop125323378.taobao.com,,,158226.00,北京,针织女,,4.86371,33.48%,4.90658,43.17%,4.91424分,45.70%,,,,,,,,,,
121,北京子潇一微商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoawaylee官方旗舰店"，"点我对话"),awaylee官方旗舰店,awaylee官方旗舰店,null,,,,https://shop275656255.taobao.com,,,381180.00,北京,针织女,,4.97414分,79.67%,4.9569分,74.44%,4.9569分,72.99%,,,,,,,,,,
122,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoxiaoliangye123"，"点我对话"),xiaoliangye123,绒美人高端羊绒,,,,,https://shop113638234.taobao.com,,,16268.00,北京,针织女,,4.94118分,71.29%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
123,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotb5858435"，"点我对话"),tb5858435,chic唯衣坊,null,,13602777543,,https://shop100498021.taobao.com,,,42980.00,北京,针织女,,4.66201,-2.78%,4.73929,-1.99%,4.74531分,-2.00%,,,,,,,,,,
124,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaohly2524444"，"点我对话"),hly2524444,臻品女人服装,,,,,https://shop58080110.taobao.com,,,104384.00,北京,针织女,,4.94328分,72.33%,4.95693分,73.82%,4.96429分,77.41%,,,,,,,,,,
125,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao可爱的你之爱裳尚衣社"，"点我对话"),可爱的你之爱裳尚衣社,默念时光 复古文艺女,,,15011242631,,https://shop104265542.taobao.com,,,84643.00,北京,针织女,,4.85459分,29.03%,4.89601分,36.74%,4.91234分,44.50%,,,,,,,,,,
126,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaojianghaifei0011001"，"点我对话"),jianghaifei0011001,AVRIN素然正品,,,,,https://shop127121442.taobao.com,,,16700.00,北京,针织女,,4.88043分,41.68%,4.88043分,27.31%,4.88043分,24.37%,,,,,,,,,,
127,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao乔仪衣橱"，"点我对话"),乔仪衣橱,乔仪高端羊绒商城,,,,,https://shop101925872.taobao.com,,,158969.00,北京,针织女,,4.95028,75.73%,4.98343,89.92%,5.0分,100.00%,,,,,,,,,,
128,北京国智华科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoiwill服饰旗舰店"，"点我对话"),iwill服饰旗舰店,iwill服饰旗舰店,,,,,https://shop102274828.taobao.com,,,1441201.12,北京,针织女,,4.92292分,39.40%,4.89229分,36.10%,4.90316分,39.31%,,,,,,,,,,
129,,五冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoalicesky1983"，"点我对话"),alicesky1983,京城上品工厂店,,,18665714630,,https://shop101798825.taobao.com,,,327891.00,北京,针织女,,4.86156分,32.43%,4.88742分,31.51%,4.89391分,32.83%,,,,,,,,,,
130,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao天佑宝贝0055"，"点我对话"),天佑宝贝0055,平佑高端羊绒企业店,,,,,https://shop102204358.taobao.com,,,391680.00,北京,针织女,,4.88189,42.39%,4.92126,52.13%,4.96063分,75.10%,,,,,,,,,,
131,北京东方蓝地服装股份有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaolandi服饰旗舰店"，"点我对话"),landi服饰旗舰店,landi服饰旗舰店,,,,,https://shop145944417.taobao.com,,,0,北京,针织女,,4.94681分,58.17%,4.9294分,58.13%,4.95358分,70.91%,,,,,,,,,,
132,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoliangpeiyao05"，"点我对话"),liangpeiyao05,兔兔家专销,,,,,https://shop106882059.taobao.com,,,19896.00,北京,针织女,,4.94737分,74.33%,4.84211分,4.02%,4.89474分,33.42%,,,,,,,,,,
133,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao绒华q58"，"点我对话"),绒华q58,绒华绒毛服饰店,,,,,https://shop66861346.taobao.com,,,4968.00,北京,针织女,,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
134,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao我家傻丫头555"，"点我对话"),我家傻丫头555,折扣购物超市,,,,,https://shop206606631.taobao.com,,,1462.88,北京,针织女,,4.501分,-6.13%,4.532分,-6.28%,4.638分,-4.21%,,,,,,,,,,
135,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao天天穿衣"，"点我对话"),天天穿衣,哥弟阿玛施女装总店,,,,,https://shop152076630.taobao.com,,,61070.00,北京,针织女,,4.93744,69.47%,4.93887,62.81%,4.95702分,72.79%,,,,,,,,,,
136,清河县佑天羊绒制品有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao芈纯旗舰店"，"点我对话"),芈纯旗舰店,芈纯旗舰店,,,,,https://shop484351545.taobao.com,,,18318.00,北京,针织女,,5.0分,100%,5.0分,100%,5.0分,100%,,,,,,,,,,
137,北京候鸟旅途服装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao候鸟旅途旗舰店"，"点我对话"),候鸟旅途旗舰店,候鸟旅途旗舰店,,,,,https://shop108490653.taobao.com,,,9629908.10,北京,针织女,,4.87833分,4.34%,4.84507分,8.09%,4.86483分,15.29%,,,,,,,,,,
138,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaosuckdarling"，"点我对话"),suckdarling,花米缸 中性实拍女装,,,,,https://shop34207667.taobao.com,,,5701.00,北京,针织女,,4.89565分,49.10%,4.94348分,65.64%,4.93696分,60.12%,,,,,,,,,,
139,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao幸福一家人182"，"点我对话"),幸福一家人182,绒都羊绒精品,,,,,https://shop107291202.taobao.com,,,18828.00,北京,针织女,,4.73944分,-1.16%,4.85211分,10.03%,4.84155分,0.10%,,,,,,,,,,
140,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao陈锐东520"，"点我对话"),陈锐东520,小陈家 关注收藏宝贝,,,,,https://shop62218961.taobao.com,,,23632.00,北京,针织女,,4.7489分,-0.96%,4.80617分,-0.61%,4.85022分,5.26%,,,,,,,,,,
141,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao紫气飘霜"，"点我对话"),紫气飘霜,紫气飘霜,,,,,https://shop518848485.taobao.com,,,5476.89,北京,针织女,,4.71073,-3.58%,4.74697,-3.12%,4.75793分,-2.86%,,,,,,,,,,
142,苏州苏念缘贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao络色女装旗舰店"，"点我对话"),络色女装旗舰店,络色女装旗舰店,,,,,https://shop566282061.taobao.com,,,5858.13,北京,针织女,,4.74465分,2.63%,4.62048分,4.37%,4.66328分,3.66%,,,,,,,,,,
143,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao牵手1548"，"点我对话"),牵手1548,小雪雪衣阁,,,,,https://shop62143672.taobao.com,,,0,北京,针织女,,4.76241分,-0.68%,4.81207分,0.48%,4.8481分,3.92%,,,,,,,,,,
144,杭州惠弯贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaobqp旗舰店"，"点我对话"),bqp旗舰店,bqp旗舰店,,,,,https://shop311288493.taobao.com,,,0,北京,针织女,,4.82176分,1.05%,4.75195分,1.65%,4.78242分,1.20%,,,,,,,,,,
145,北京藜可萱时装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao藜可萱旗舰店"，"点我对话"),藜可萱旗舰店,藜可萱旗舰店,,,,,https://shop112326644.taobao.com,,,0,北京,针织女,,4.88417分,8.93%,4.87083分,23.37%,4.895分,34.19%,,,,,,,,,,
146,北京佳美妮商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao安都妮旗舰店"，"点我对话"),安都妮旗舰店,安都妮旗舰店,,,,,https://shop72163178.taobao.com,,,135427.00,北京,针织女,,4.94318分,55.32%,4.94318分,66.30%,4.94318分,64.40%,,,,,,,,,,
147,宣城兰叶草服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao西西河旗舰店"，"点我对话"),西西河旗舰店,西西河旗舰店,,,,,https://shop113316856.taobao.com,,,155897.00,北京,针织女,,4.81841分,1.12%,4.78397分,0.98%,4.8159分,0.51%,,,,,,,,,,
148,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao6565678ff"，"点我对话"),6565678ff,七彩衣服饰,,,,,https://shop103195474.taobao.com,,,12456.00,北京,针织女,,4.81233分,8.40%,4.83043分,0.11%,4.84853分,4.10%,,,,,,,,,,
149,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao炫颖衣店"，"点我对话"),炫颖衣店,炫颖高端羊绒工厂店,,,15803292755,,https://shop101712984.taobao.com,,,0,北京,针织女,,4.70874,-1.80%,4.76699,-1.42%,4.8835分,26.31%,,,,,,,,,,
150,北京展翅鸿飞商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao澜懿旗舰店"，"点我对话"),澜懿旗舰店,澜懿旗舰店,18201488594,,,,https://shop71704465.taobao.com,,,4768963.00,北京,针织女,,4.89178分,14.91%,4.81363分,0%,4.84098分,0%,,,,,,,,,,
151,河北其超羊绒制品有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao启超旗舰店"，"点我对话"),启超旗舰店,启超旗舰店,,,,,https://shop300568640.taobao.com,,,329100.00,北京,针织女,,4.99636分,97.14%,4.99454分,96.76%,4.99454分,96.58%,,,,,,,,,,
152,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao濮院羊绒88"，"点我对话"),濮院羊绒88,丹依高端羊绒,,,,,https://shop106112877.taobao.com,,,266552.00,北京,针织女,,4.7617分,-0.69%,4.8383分,1.70%,4.88511分,27.33%,,,,,,,,,,
153,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao赛雪爱爸妈6"，"点我对话"),赛雪爱爸妈6,三小姐大码女装168,,,,,https://shop110298580.taobao.com,,,7643.00,北京,针织女,,4.75,-0.94%,4.775,-1.25%,4.8分,-0.87%,,,,,,,,,,
154,苏州让蔻商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao恋格丽女装旗舰店"，"点我对话"),恋格丽女装旗舰店,恋格丽女装旗舰店,,,,,https://shop391422562.taobao.com,,,927412.00,北京,针织女,,4.9381分,51.33%,4.93918分,63.92%,4.94741分,67.04%,,,,,,,,,,
155,苏州潮流集电子商务有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao索竹旗舰店"，"点我对话"),索竹旗舰店,索竹旗舰店,,,,,https://shop484969758.taobao.com,,,70616.71,北京,针织女,,4.81717分,1.14%,4.7028分,2.66%,4.7259分,2.37%,,,,,,,,,,
156,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao梵猫时尚皮草服饰屋"，"点我对话"),梵猫时尚皮草服饰屋,梵猫名品,,,,,https://shop62869622.taobao.com,,,0,北京,针织女,,4.74468分,-1.05%,4.76596分,-1.44%,4.80142分,-0.84%,,,,,,,,,,
157,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao他是青鸟我是飞鱼"，"点我对话"),他是青鸟我是飞鱼,大塽家 微胖大码时尚女装,,,,,https://shop112804108.taobao.com,,,115551.00,北京,针织女,,4.86234,32.81%,4.90105,39.80%,4.90541分,40.11%,,,,,,,,,,
158,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao喜羊羊绒纱店"，"点我对话"),喜羊羊绒纱店,博娜瑞亿,,,,,https://shop100426001.taobao.com,,,41490.00,北京,针织女,,4.91463分,58.36%,4.96341分,77.76%,4.95732分,73.00%,,,,,,,,,,
159,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao世宇羊绒衫"，"点我对话"),世宇羊绒衫,黛霏霓工厂店,,,,,https://shop125387257.taobao.com,,,1989.00,北京,针织女,,4.8494分,26.54%,4.87149分,21.88%,4.88554分,27.60%,,,,,,,,,,
160,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao潮女郎羊绒服饰"，"点我对话"),潮女郎羊绒服饰,潮女郎定制女装,,,,,https://shop520536683.taobao.com,,,56047.00,北京,针织女,,4.96552分,83.17%,4.98276分,89.51%,4.98276分,89.09%,,,,,,,,,,
161,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao鹿王折扣专柜888"，"点我对话"),鹿王折扣专柜888,高端羊绒工厂六店,,,,,https://shop101569539.taobao.com,,,319234.00,北京,针织女,,4.90778分,55.02%,4.92222分,52.72%,4.92444分,52.20%,,,,,,,,,,
162,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao温新羊绒"，"点我对话"),温新羊绒,日系潮牌服饰商城,,,,,https://shop61352838.taobao.com,,,1794.00,上海,针织女,,4.78788分,0.15%,4.78788分,-0.99%,4.90909分,42.44%,,,,,,,,,,
163,天津酷奔科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao酷奔鞋类专营店"，"点我对话"),酷奔鞋类专营店,酷奔鞋类专营店,,,,,https://shop102183224.taobao.com,,,703308.00,上海,针织女,,4.87514分,1.83%,4.80941分,0%,4.81602分,0.50%,,,,,,,,,,
164,常熟市旭宁服饰贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao旭宁服饰旗舰店"，"点我对话"),旭宁服饰旗舰店,旭宁服饰旗舰店,,,,,https://shop109564723.taobao.com,,,7060866.00,上海,针织女,,4.88812分,12.04%,4.83367分,1.33%,4.8536分,8.25%,,,,,,,,,,
165,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaochenyongxiang741103"，"点我对话"),chenyongxiang741103,北京的温州街 TB,,,,,https://shop58283031.taobao.com,,,1575.00,上海,针织女,,4.83553分,19.72%,4.86842分,19.95%,4.85526分,8.36%,,,,,,,,,,
166,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao全球淘代购"，"点我对话"),全球淘代购,女人志奢华,,,,,https://shop105378064.taobao.com,,,52390.00,上海,针织女,,4.92414分,62.97%,4.93103分,58.04%,4.93793分,60.70%,,,,,,,,,,
167,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaolizuyuncdd"，"点我对话"),lizuyuncdd,好兄好弟服装店,,,,,https://shop34217712.taobao.com,,,34650.60,上海,针织女,,4.66087分,-3.43%,4.72253分,-2.70%,4.72253分,-2.72%,,,,,,,,,,
