编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,月销售额,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
40,清河县盛阳羊绒制品有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao卿羊旗舰店"，"点我对话"),卿羊旗舰店,卿羊旗舰店,,,,,https://shop277157455.taobao.com,,,2582687.00,北京,针织女,,4.95215分,62.38%,4.94498分,67.36%,4.93062分,56.52%,,,,,,,,,,
41,,五冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao棍道55"，"点我对话"),棍道55,忻亞萱,,,,,https://shop71440354.taobao.com,,,407523.00,北京,针织女,,4.78531分,0.20%,4.84775分,7.38%,4.85127分,5.84%,,,,,,,,,,
42,厦门佐藤贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao蔻娜丽姿旗舰店"，"点我对话"),蔻娜丽姿旗舰店,蔻娜丽姿旗舰店,,,,,https://shop342464656.taobao.com,,,0,北京,针织女,,4.9229分,39.37%,4.91822分,51.49%,4.92991分,56.08%,,,,,,,,,,
43,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao倾香百合"，"点我对话"),倾香百合,诗龄,,,,,https://shop58682149.taobao.com,,,61383.00,北京,针织女,,4.79384分,0.10%,4.8347分,0.10%,4.85732分,9.67%,,,,,,,,,,
44,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao绒都精品羊绒"，"点我对话"),绒都精品羊绒,XIXI西西魔豆羊绒女装,,,,,https://shop107694371.taobao.com,,,226841.00,北京,针织女,,4.80682分,5.77%,4.84091分,3.29%,4.81818分,0.49%,,,,,,,,,,
45,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao摩达女装店"，"点我对话"),摩达女装店,摩达女装店,,,,,https://shop281029531.taobao.com,,,0,北京,针织女,,4.84101,22.40%,4.88559,30.40%,4.87692分,22.08%,,,,,,,,,,
46,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao请叫我季小姐"，"点我对话"),请叫我季小姐,请叫我季小姐,,,,,https://shop70308666.taobao.com,,,24105.00,北京,针织女,,4.83884分,21.34%,4.90496分,42.18%,4.91322分,45.06%,,,,,,,,,,
47,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao陈卉丫"，"点我对话"),陈卉丫,CHY 卉丫,,,,,https://shop65188007.taobao.com,,,35407.50,北京,针织女,,4.805分,4.82%,4.84808分,7.58%,4.85531分,8.40%,,,,,,,,,,
48,清河县恩尚羊绒制品有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao鄂兰朵娜旗舰店"，"点我对话"),鄂兰朵娜旗舰店,鄂兰朵娜旗舰店,,,,,https://shop163578879.taobao.com,,,724466.00,北京,针织女,,4.9645分,72.09%,4.94477分,67.24%,4.94675分,66.63%,,,,,,,,,,
49,北京鑫鼎盛世文化发展有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao芙黛怡旗舰店"，"点我对话"),芙黛怡旗舰店,芙黛怡旗舰店,,,,,https://shop65166808.taobao.com,,,1665906.30,北京,针织女,,4.88367分,8.54%,4.79589分,0.74%,4.81636分,0.50%,,,,,,,,,,
50,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao韩衣尊尚"，"点我对话"),韩衣尊尚,韩衣尊尚,,,,,https://shop110416860.taobao.com,,,0,北京,针织女,,4.73628,-1.23%,4.77483,-1.26%,4.77748分,-1.33%,,,,,,,,,,
51,郑州迎曼服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao迎曼旗舰店"，"点我对话"),迎曼旗舰店,迎曼旗舰店,,,,,https://shop114503450.taobao.com,,,6362155.00,北京,针织女,,4.86367分,0%,4.80807分,0%,4.81337分,0.56%,,,,,,,,,,
